customer_id,tenure,marital_status,number_of_device_registered,number_of_address,prefered_order_cat,churn
110,1.0,Married,5.0,8.0,Mobile,1.0
111,24.0,Single,4.0,1.0,Mobile,0.0
112,14.0,Single,3.0,8.0,Laptop & Accessory,0.0
113,13.0,Married,3.0,9.0,Mobile,0.0
114,0.0,Divorced,3.0,2.0,Laptop & Accessory,0.0
115,21.0,Married,4.0,11.0,Grocery,0.0
116,29.0,Married,5.0,10.0,Mobile,0.0
117,7.0,Married,3.0,4.0,Laptop & Accessory,0.0
118,14.0,Married,4.0,4.0,Laptop & Accessory,0.0
119,5.0,Married,6.0,6.0,Mobile,1.0
120,5.0,Married,5.0,5.0,Mobile,0.0
121,2.0,Married,5.0,3.0,Mobile,0.0
122,3.0,Married,6.0,3.0,Mobile,0.0
123,0.0,Married,3.0,2.0,Mobile,0.0
124,11.0,Married,3.0,1.0,Laptop & Accessory,0.0
125,6.0,Married,1.0,5.0,Grocery,0.0
126,2.0,Married,5.0,3.0,Mobile,0.0
127,1.0,Married,4.0,6.0,Mobile,0.0
128,14.0,Married,3.0,4.0,Fashion,0.0
129,1.0,Single,4.0,3.0,Mobile,1.0
130,3.0,Married,4.0,10.0,Mobile,0.0
131,26.0,Single,5.0,9.0,Mobile,0.0
132,1.0,Married,5.0,7.0,Laptop & Accessory,1.0
133,5.0,Single,3.0,9.0,Laptop & Accessory,0.0
134,13.0,Married,3.0,3.0,Laptop & Accessory,0.0
135,4.0,Single,3.0,5.0,Laptop & Accessory,0.0
136,0.0,Divorced,3.0,1.0,Mobile,0.0
137,1.0,Single,5.0,6.0,Mobile,1.0
138,30.0,Married,4.0,6.0,Others,0.0
139,0.0,Divorced,5.0,4.0,Laptop & Accessory,1.0
140,9.0,Single,4.0,7.0,Mobile,1.0
141,17.0,Single,5.0,5.0,Fashion,0.0
142,26.0,Divorced,4.0,11.0,Mobile,0.0
143,5.0,Married,1.0,7.0,Mobile,1.0
144,0.0,Divorced,4.0,2.0,Mobile,0.0
145,19.0,Married,3.0,2.0,Fashion,0.0
146,8.0,Single,4.0,2.0,Mobile,0.0
147,9.0,Married,3.0,3.0,Laptop & Accessory,0.0
148,9.0,Married,3.0,2.0,Mobile,0.0
149,1.0,Married,5.0,6.0,Mobile,1.0
150,9.0,Single,3.0,3.0,Mobile,0.0
151,1.0,Single,4.0,3.0,Mobile,1.0
152,8.0,Divorced,4.0,11.0,Laptop & Accessory,0.0
153,26.0,Married,4.0,5.0,Grocery,0.0
154,2.0,Married,4.0,7.0,Mobile,0.0
155,9.0,Single,3.0,2.0,Mobile,0.0
156,4.0,Married,4.0,3.0,Laptop & Accessory,0.0
157,16.0,Single,4.0,4.0,Grocery,0.0
158,1.0,Single,4.0,3.0,Mobile,0.0
159,9.0,Married,4.0,6.0,Fashion,0.0
160,2.0,Married,3.0,2.0,Mobile,0.0
161,10.0,Married,3.0,3.0,Laptop & Accessory,0.0
162,1.0,Divorced,5.0,4.0,Laptop & Accessory,0.0
163,23.0,Married,3.0,5.0,Mobile,0.0
164,21.0,Married,2.0,8.0,Grocery,0.0
165,26.0,Married,4.0,8.0,Fashion,0.0
166,11.0,Married,3.0,4.0,Laptop & Accessory,0.0
167,31.0,Single,5.0,7.0,Laptop & Accessory,0.0
168,14.0,Divorced,5.0,7.0,Fashion,0.0
169,4.0,Single,3.0,1.0,Laptop & Accessory,0.0
170,17.0,Divorced,3.0,4.0,Grocery,0.0
171,7.0,Married,3.0,10.0,Laptop & Accessory,0.0
172,20.0,Single,3.0,8.0,Others,1.0
173,8.0,Married,5.0,3.0,Laptop & Accessory,0.0
174,1.0,Single,6.0,3.0,Mobile,1.0
175,17.0,Single,4.0,8.0,Fashion,1.0
176,27.0,Divorced,4.0,4.0,Laptop & Accessory,0.0
177,16.0,Divorced,5.0,11.0,Laptop & Accessory,0.0
178,16.0,Married,4.0,3.0,Laptop & Accessory,0.0
179,9.0,Married,3.0,2.0,Mobile,0.0
180,10.0,Married,4.0,8.0,Laptop & Accessory,0.0
181,10.0,Married,2.0,6.0,Laptop & Accessory,0.0
182,3.0,Married,3.0,6.0,Mobile,0.0
183,0.0,Divorced,1.0,3.0,Laptop & Accessory,0.0
184,12.0,Married,3.0,3.0,Laptop & Accessory,0.0
185,6.0,Single,4.0,10.0,Laptop & Accessory,0.0
186,11.0,Married,4.0,3.0,Laptop & Accessory,0.0
187,6.0,Married,5.0,2.0,Mobile,0.0
188,4.0,Married,3.0,2.0,Laptop & Accessory,0.0
189,17.0,Single,4.0,2.0,Mobile,0.0
190,7.0,Divorced,3.0,2.0,Fashion,1.0
191,8.0,Married,4.0,7.0,Laptop & Accessory,0.0
192,15.0,Single,5.0,4.0,Laptop & Accessory,0.0
193,31.0,Single,5.0,5.0,Grocery,0.0
194,16.0,Married,3.0,5.0,Laptop & Accessory,0.0
195,18.0,Single,3.0,9.0,Laptop & Accessory,0.0
196,3.0,Married,4.0,5.0,Laptop & Accessory,1.0
197,11.0,Divorced,5.0,4.0,Mobile,0.0
198,0.0,Single,4.0,2.0,Mobile,0.0
199,20.0,Married,4.0,5.0,Fashion,0.0
200,11.0,Divorced,4.0,9.0,Mobile,0.0
201,0.0,Single,3.0,3.0,Fashion,1.0
202,10.0,Married,2.0,5.0,Mobile,0.0
203,1.0,Married,4.0,3.0,Mobile,1.0
204,9.0,Married,4.0,5.0,Laptop & Accessory,0.0
205,1.0,Married,4.0,2.0,Laptop & Accessory,0.0
206,9.0,Married,4.0,4.0,Laptop & Accessory,0.0
207,2.0,Married,4.0,3.0,Mobile,0.0
208,30.0,Married,4.0,6.0,Mobile,0.0
209,12.0,Single,4.0,4.0,Laptop & Accessory,0.0
210,8.0,Married,3.0,5.0,Fashion,0.0
211,22.0,Married,3.0,2.0,Laptop & Accessory,0.0
212,8.0,Married,3.0,3.0,Laptop & Accessory,0.0
213,20.0,Married,3.0,4.0,Others,0.0
214,9.0,Divorced,4.0,2.0,Mobile,0.0
215,20.0,Married,3.0,9.0,Laptop & Accessory,0.0
216,0.0,Single,3.0,2.0,Mobile,0.0
217,28.0,Married,4.0,10.0,Fashion,0.0
218,22.0,Single,2.0,4.0,Grocery,0.0
219,16.0,Married,4.0,2.0,Grocery,0.0
220,7.0,Single,5.0,6.0,Laptop & Accessory,0.0
221,1.0,Married,4.0,3.0,Mobile,1.0
222,9.0,Divorced,3.0,2.0,Mobile,0.0
223,9.0,Married,4.0,2.0,Laptop & Accessory,0.0
224,4.0,Divorced,4.0,4.0,Laptop & Accessory,0.0
225,25.0,Single,5.0,2.0,Mobile,0.0
226,14.0,Married,4.0,3.0,Laptop & Accessory,0.0
227,4.0,Divorced,4.0,3.0,Mobile,0.0
228,18.0,Divorced,4.0,2.0,Laptop & Accessory,0.0
229,10.0,Married,5.0,6.0,Fashion,0.0
230,18.0,Single,4.0,3.0,Mobile,0.0
231,11.0,Single,4.0,4.0,Laptop & Accessory,0.0
232,8.0,Married,5.0,6.0,Laptop & Accessory,0.0
233,22.0,Married,3.0,5.0,Mobile,0.0
234,4.0,Married,4.0,2.0,Laptop & Accessory,0.0
235,0.0,Married,4.0,2.0,Fashion,0.0
236,18.0,Married,4.0,5.0,Grocery,0.0
237,13.0,Single,4.0,2.0,Laptop & Accessory,0.0
238,31.0,Married,4.0,4.0,Grocery,0.0
239,0.0,Married,1.0,9.0,Laptop & Accessory,1.0
240,1.0,Married,2.0,2.0,Mobile,1.0
241,1.0,Single,4.0,3.0,Mobile,1.0
242,20.0,Divorced,4.0,7.0,Others,0.0
243,4.0,Married,3.0,1.0,Mobile,0.0
244,1.0,Married,3.0,2.0,Mobile,0.0
245,8.0,Married,4.0,1.0,Laptop & Accessory,0.0
246,13.0,Married,3.0,4.0,Laptop & Accessory,0.0
247,1.0,Single,4.0,3.0,Mobile,0.0
248,25.0,Divorced,3.0,9.0,Laptop & Accessory,0.0
249,19.0,Married,6.0,6.0,Fashion,0.0
250,24.0,Single,5.0,8.0,Fashion,0.0
251,0.0,Single,5.0,2.0,Mobile,1.0
252,15.0,Married,5.0,2.0,Grocery,0.0
253,7.0,Married,3.0,2.0,Laptop & Accessory,0.0
254,19.0,Married,3.0,2.0,Fashion,0.0
255,11.0,Single,4.0,5.0,Mobile,0.0
256,24.0,Married,4.0,2.0,Laptop & Accessory,0.0
257,29.0,Single,2.0,10.0,Others,0.0
258,15.0,Married,3.0,10.0,Fashion,0.0
259,15.0,Married,4.0,2.0,Fashion,0.0
260,4.0,Single,3.0,2.0,Laptop & Accessory,0.0
261,9.0,Married,4.0,1.0,Mobile,0.0
262,0.0,Single,4.0,8.0,Mobile,1.0
263,7.0,Single,1.0,3.0,Mobile,0.0
264,2.0,Married,4.0,3.0,Laptop & Accessory,0.0
265,9.0,Single,5.0,3.0,Mobile,0.0
266,4.0,Married,3.0,1.0,Mobile,0.0
267,10.0,Married,5.0,6.0,Laptop & Accessory,0.0
268,9.0,Divorced,3.0,5.0,Mobile,0.0
269,7.0,Divorced,4.0,3.0,Laptop & Accessory,0.0
270,1.0,Single,6.0,9.0,Mobile,1.0
271,0.0,Married,4.0,2.0,Fashion,1.0
272,19.0,Divorced,4.0,3.0,Laptop & Accessory,0.0
273,16.0,Married,3.0,2.0,Grocery,0.0
274,4.0,Single,5.0,2.0,Mobile,0.0
275,16.0,Married,4.0,4.0,Laptop & Accessory,0.0
276,0.0,Single,3.0,3.0,Mobile,1.0
277,31.0,Married,5.0,6.0,Fashion,0.0
278,30.0,Married,1.0,1.0,Laptop & Accessory,0.0
279,15.0,Married,4.0,2.0,Laptop & Accessory,0.0
280,6.0,Single,4.0,6.0,Laptop & Accessory,0.0
281,6.0,Single,4.0,3.0,Fashion,0.0
282,30.0,Divorced,3.0,6.0,Others,0.0
283,6.0,Divorced,3.0,1.0,Fashion,0.0
284,5.0,Divorced,5.0,5.0,Mobile,0.0
285,1.0,Divorced,3.0,2.0,Mobile,0.0
286,7.0,Married,4.0,3.0,Laptop & Accessory,0.0
287,9.0,Married,3.0,5.0,Mobile,1.0
288,1.0,Married,4.0,3.0,Mobile,0.0
289,2.0,Single,3.0,2.0,Laptop & Accessory,0.0
290,16.0,Married,4.0,4.0,Laptop & Accessory,0.0
291,16.0,Married,4.0,10.0,Mobile,0.0
292,19.0,Married,1.0,3.0,Grocery,0.0
293,16.0,Married,2.0,8.0,Laptop & Accessory,0.0
294,11.0,Single,3.0,9.0,Laptop & Accessory,0.0
295,10.0,Married,4.0,2.0,Laptop & Accessory,0.0
296,15.0,Married,6.0,3.0,Others,0.0
297,14.0,Single,4.0,3.0,Others,0.0
298,1.0,Single,2.0,3.0,Mobile,1.0
299,23.0,Married,3.0,6.0,Grocery,0.0
300,13.0,Married,3.0,2.0,Laptop & Accessory,0.0
301,0.0,Single,3.0,2.0,Mobile,1.0
302,19.0,Married,3.0,3.0,Laptop & Accessory,0.0
303,8.0,Married,4.0,2.0,Mobile,0.0
304,25.0,Married,3.0,10.0,Mobile,0.0
305,10.0,Single,4.0,3.0,Fashion,0.0
306,1.0,Single,6.0,8.0,Laptop & Accessory,1.0
307,19.0,Divorced,3.0,6.0,Laptop & Accessory,0.0
308,6.0,Married,3.0,2.0,Laptop & Accessory,0.0
309,1.0,Married,4.0,2.0,Laptop & Accessory,0.0
310,16.0,Married,4.0,6.0,Mobile,0.0
311,9.0,Divorced,4.0,2.0,Mobile,0.0
312,1.0,Single,3.0,10.0,Laptop & Accessory,1.0
313,7.0,Single,4.0,2.0,Mobile,0.0
314,1.0,Divorced,2.0,4.0,Laptop & Accessory,0.0
315,8.0,Divorced,4.0,3.0,Mobile,0.0
316,9.0,Single,3.0,2.0,Mobile,0.0
317,17.0,Married,5.0,2.0,Fashion,1.0
318,9.0,Single,4.0,2.0,Mobile,0.0
319,7.0,Married,5.0,3.0,Mobile,0.0
320,16.0,Single,4.0,3.0,Mobile,0.0
321,3.0,Married,4.0,2.0,Laptop & Accessory,0.0
322,11.0,Single,3.0,6.0,Mobile,0.0
323,11.0,Single,3.0,4.0,Mobile,0.0
324,13.0,Divorced,4.0,6.0,Fashion,0.0
325,17.0,Married,5.0,3.0,Grocery,0.0
326,11.0,Married,5.0,8.0,Laptop & Accessory,0.0
327,7.0,Single,4.0,4.0,Laptop & Accessory,0.0
328,6.0,Married,5.0,5.0,Laptop & Accessory,0.0
329,11.0,Married,3.0,8.0,Mobile,0.0
330,15.0,Married,3.0,4.0,Fashion,0.0
331,13.0,Single,5.0,5.0,Laptop & Accessory,1.0
332,6.0,Single,4.0,4.0,Mobile,0.0
333,7.0,Single,3.0,2.0,Laptop & Accessory,0.0
334,0.0,Single,5.0,2.0,Laptop & Accessory,1.0
335,16.0,Single,5.0,5.0,Laptop & Accessory,0.0
336,5.0,Married,4.0,4.0,Laptop & Accessory,0.0
337,19.0,Married,3.0,5.0,Fashion,0.0
338,9.0,Single,3.0,2.0,Mobile,0.0
339,0.0,Single,4.0,9.0,Laptop & Accessory,0.0
340,20.0,Single,4.0,3.0,Mobile,1.0
341,8.0,Married,4.0,3.0,Laptop & Accessory,0.0
342,12.0,Married,4.0,9.0,Laptop & Accessory,0.0
343,1.0,Married,4.0,3.0,Mobile,0.0
344,4.0,Married,3.0,3.0,Fashion,0.0
345,9.0,Single,5.0,3.0,Mobile,0.0
346,12.0,Divorced,5.0,2.0,Mobile,0.0
347,25.0,Divorced,4.0,3.0,Mobile,0.0
348,6.0,Married,4.0,6.0,Laptop & Accessory,0.0
349,21.0,Married,4.0,3.0,Grocery,0.0
350,7.0,Married,1.0,1.0,Mobile,0.0
351,9.0,Single,5.0,2.0,Mobile,1.0
352,7.0,Single,3.0,2.0,Laptop & Accessory,0.0
353,3.0,Single,3.0,10.0,Fashion,0.0
354,0.0,Single,3.0,1.0,Mobile,1.0
355,1.0,Married,2.0,3.0,Mobile,1.0
356,13.0,Married,3.0,4.0,Laptop & Accessory,0.0
357,0.0,Married,3.0,10.0,Mobile,0.0
358,9.0,Single,3.0,2.0,Mobile,0.0
359,17.0,Single,4.0,4.0,Mobile,0.0
360,8.0,Single,4.0,2.0,Mobile,0.0
361,0.0,Married,5.0,1.0,Mobile,1.0
362,14.0,Married,4.0,5.0,Laptop & Accessory,0.0
363,1.0,Married,5.0,7.0,Fashion,1.0
364,9.0,Single,6.0,4.0,Others,1.0
365,0.0,Single,4.0,8.0,Mobile,1.0
366,20.0,Single,5.0,10.0,Laptop & Accessory,0.0
367,17.0,Married,3.0,3.0,Laptop & Accessory,0.0
368,17.0,Single,2.0,6.0,Mobile,0.0
369,1.0,Married,4.0,8.0,Fashion,1.0
370,16.0,Single,4.0,11.0,Fashion,1.0
371,0.0,Divorced,5.0,2.0,Fashion,1.0
372,1.0,Single,5.0,3.0,Mobile,1.0
373,0.0,Married,3.0,2.0,Mobile,0.0
374,20.0,Married,4.0,11.0,Others,0.0
375,21.0,Single,4.0,4.0,Laptop & Accessory,0.0
376,29.0,Married,4.0,4.0,Grocery,0.0
377,23.0,Married,4.0,4.0,Mobile,0.0
378,13.0,Single,3.0,10.0,Fashion,0.0
379,6.0,Single,4.0,5.0,Mobile,0.0
380,4.0,Single,4.0,5.0,Mobile,1.0
381,9.0,Single,3.0,2.0,Mobile,0.0
382,5.0,Divorced,5.0,5.0,Laptop & Accessory,0.0
383,6.0,Single,5.0,9.0,Laptop & Accessory,1.0
384,3.0,Married,4.0,2.0,Laptop & Accessory,0.0
385,5.0,Divorced,1.0,6.0,Laptop & Accessory,0.0
386,1.0,Single,5.0,3.0,Mobile,0.0
387,11.0,Married,4.0,2.0,Mobile,0.0
388,10.0,Single,3.0,2.0,Fashion,0.0
389,27.0,Married,5.0,4.0,Grocery,0.0
390,11.0,Single,4.0,2.0,Mobile,0.0
391,1.0,Single,4.0,2.0,Mobile,1.0
392,27.0,Single,4.0,4.0,Laptop & Accessory,0.0
393,5.0,Single,3.0,2.0,Laptop & Accessory,0.0
394,17.0,Single,4.0,5.0,Laptop & Accessory,0.0
395,28.0,Married,4.0,2.0,Grocery,0.0
396,6.0,Single,4.0,3.0,Laptop & Accessory,0.0
397,1.0,Single,5.0,3.0,Mobile,0.0
398,3.0,Married,3.0,1.0,Fashion,0.0
399,9.0,Married,5.0,2.0,Mobile,0.0
400,16.0,Married,4.0,5.0,Grocery,0.0
401,14.0,Single,5.0,4.0,Mobile,0.0
402,13.0,Married,3.0,5.0,Mobile,0.0
403,9.0,Married,5.0,2.0,Mobile,0.0
404,17.0,Single,3.0,6.0,Fashion,0.0
405,16.0,Married,4.0,5.0,Grocery,0.0
406,19.0,Divorced,3.0,4.0,Grocery,0.0
407,16.0,Single,3.0,1.0,Mobile,0.0
408,6.0,Divorced,3.0,2.0,Laptop & Accessory,0.0
409,14.0,Single,4.0,7.0,Laptop & Accessory,0.0
410,8.0,Married,4.0,2.0,Mobile,0.0
411,9.0,Single,3.0,2.0,Fashion,0.0
412,18.0,Married,3.0,3.0,Fashion,0.0
413,0.0,Married,3.0,1.0,Laptop & Accessory,0.0
414,9.0,Married,3.0,2.0,Mobile,0.0
415,9.0,Married,3.0,2.0,Mobile,0.0
416,3.0,Married,5.0,3.0,Mobile,0.0
417,4.0,Single,4.0,3.0,Mobile,0.0
418,11.0,Married,5.0,3.0,Laptop & Accessory,0.0
419,1.0,Divorced,4.0,6.0,Mobile,1.0
420,16.0,Single,3.0,7.0,Fashion,1.0
421,7.0,Married,1.0,2.0,Laptop & Accessory,0.0
422,5.0,Married,4.0,10.0,Mobile,0.0
423,1.0,Divorced,4.0,2.0,Laptop & Accessory,1.0
424,4.0,Married,4.0,3.0,Mobile,0.0
425,15.0,Married,3.0,10.0,Fashion,0.0
426,9.0,Married,3.0,2.0,Mobile,0.0
427,8.0,Single,3.0,2.0,Laptop & Accessory,0.0
428,0.0,Married,3.0,2.0,Mobile,1.0
429,2.0,Single,4.0,2.0,Fashion,0.0
430,5.0,Single,3.0,2.0,Laptop & Accessory,0.0
431,0.0,Married,3.0,4.0,Fashion,1.0
432,1.0,Married,5.0,3.0,Mobile,1.0
433,11.0,Divorced,4.0,4.0,Fashion,0.0
434,2.0,Divorced,3.0,2.0,Laptop & Accessory,0.0
435,11.0,Single,3.0,4.0,Laptop & Accessory,0.0
436,11.0,Married,4.0,4.0,Fashion,0.0
437,15.0,Married,3.0,1.0,Mobile,0.0
438,4.0,Married,4.0,9.0,Laptop & Accessory,0.0
439,19.0,Married,4.0,2.0,Laptop & Accessory,0.0
440,0.0,Divorced,3.0,2.0,Mobile,1.0
441,10.0,Single,3.0,5.0,Fashion,0.0
442,3.0,Married,4.0,11.0,Mobile,0.0
443,7.0,Single,4.0,3.0,Fashion,0.0
444,21.0,Married,4.0,6.0,Others,0.0
445,19.0,Married,3.0,7.0,Grocery,0.0
446,4.0,Married,5.0,3.0,Laptop & Accessory,0.0
447,21.0,Married,4.0,9.0,Laptop & Accessory,0.0
448,1.0,Single,6.0,10.0,Laptop & Accessory,1.0
449,19.0,Married,3.0,3.0,Laptop & Accessory,0.0
450,51.0,Divorced,2.0,2.0,Laptop & Accessory,0.0
451,13.0,Divorced,1.0,2.0,Laptop & Accessory,0.0
452,8.0,Single,4.0,5.0,Laptop & Accessory,0.0
453,12.0,Single,5.0,6.0,Laptop & Accessory,0.0
454,15.0,Married,3.0,6.0,Grocery,0.0
455,1.0,Single,4.0,2.0,Mobile,1.0
456,0.0,Single,3.0,2.0,Mobile,0.0
457,8.0,Single,4.0,2.0,Fashion,0.0
458,22.0,Married,3.0,4.0,Fashion,0.0
459,1.0,Single,3.0,4.0,Laptop & Accessory,0.0
460,9.0,Married,4.0,3.0,Laptop & Accessory,0.0
461,3.0,Married,4.0,3.0,Laptop & Accessory,0.0
462,12.0,Divorced,3.0,2.0,Fashion,1.0
463,19.0,Divorced,4.0,6.0,Mobile,0.0
464,19.0,Single,4.0,10.0,Laptop & Accessory,0.0
465,26.0,Married,1.0,4.0,Grocery,0.0
466,20.0,Married,4.0,9.0,Fashion,0.0
467,9.0,Married,4.0,3.0,Mobile,0.0
468,13.0,Married,3.0,4.0,Laptop & Accessory,0.0
469,17.0,Single,5.0,3.0,Mobile,0.0
470,8.0,Single,4.0,3.0,Mobile,1.0
471,7.0,Married,3.0,2.0,Mobile,1.0
472,1.0,Single,4.0,3.0,Mobile,0.0
473,12.0,Single,3.0,1.0,Laptop & Accessory,0.0
474,9.0,Divorced,4.0,3.0,Fashion,0.0
475,2.0,Single,3.0,2.0,Mobile,0.0
476,4.0,Married,4.0,3.0,Mobile,0.0
477,29.0,Married,2.0,4.0,Grocery,0.0
478,1.0,Divorced,4.0,3.0,Mobile,1.0
479,20.0,Single,4.0,8.0,Laptop & Accessory,0.0
480,1.0,Single,2.0,3.0,Mobile,1.0
481,10.0,Married,4.0,2.0,Laptop & Accessory,0.0
482,1.0,Divorced,4.0,2.0,Laptop & Accessory,0.0
483,9.0,Married,5.0,4.0,Fashion,0.0
484,4.0,Single,4.0,2.0,Laptop & Accessory,0.0
485,4.0,Married,3.0,2.0,Laptop & Accessory,0.0
486,10.0,Married,4.0,2.0,Laptop & Accessory,0.0
487,13.0,Married,3.0,3.0,Grocery,0.0
488,1.0,Single,5.0,8.0,Mobile,1.0
489,8.0,Married,3.0,2.0,Fashion,0.0
490,11.0,Married,1.0,2.0,Mobile,0.0
491,1.0,Single,4.0,3.0,Mobile,0.0
492,15.0,Single,3.0,2.0,Mobile,0.0
493,24.0,Married,3.0,3.0,Fashion,0.0
494,30.0,Divorced,4.0,4.0,Mobile,0.0
495,1.0,Married,2.0,4.0,Laptop & Accessory,0.0
496,1.0,Single,4.0,3.0,Mobile,0.0
497,20.0,Married,4.0,5.0,Grocery,0.0
